wikidata_id	name	wikipedia_url	description
Q4830453	Business	https://en.wikipedia.org/wiki/Business	organization undertaking commercial, industrial, or professional activity
Q891723	Public Company	https://en.wikipedia.org/wiki/Public_company	company that offers its securities for sale to the general public
Q4182287	Web Search Engine	https://en.wikipedia.org/wiki/Search_engine	software system that is designed to search for information on the World Wide Web
Q6881511	Enterprise	https://en.wikipedia.org/wiki/Business_enterprise	organizational unit producing goods or services, which benefits from a certain degree of autonomy in decision-making, especially for the allocation of its current resources
Q783794	Company	https://en.wikipedia.org/wiki/Company	legal entity representing an association of people, whether natural, legal or a mixture of both, with a specific objective
Q18127	Record Label	https://en.wikipedia.org/wiki/Record_label	brand and trademark associated with the marketing of music recordings and music videos
Q1058914	Software Company	https://en.wikipedia.org/wiki/Software_company	company that develops software
Q1589009	Privately Held Company	https://en.wikipedia.org/wiki/Privately_held_company	business with a small number of owners
Q35127	Website	https://en.wikipedia.org/wiki/Website	set of related web pages served from a single web domain
Q43229	Organization	https://en.wikipedia.org/wiki/Organization	social entity established to meet needs or pursue goals
Q219577	Holding Company	https://en.wikipedia.org/wiki/Holding_company	company whose primary business is holding controlling shares of subsidiary companies
Q778575	Conglomerate	https://en.wikipedia.org/wiki/Conglomerate_(company)	large company involved in many industries
Q18388277	Technology Company	https://en.wikipedia.org/wiki/Technology_company	company specializing in technology
